Using USB device `iPhone`
Agent injected and responds ok!
Determining environment...
Running command... `ios bundles list_frameworks --full-path`
Executable               Bundle                                    Version    Path
XAppSettingsStorage      org.cocoapods.XAppSettingsStorage         1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/XAppSettingsStorage.framework
GoogleUtilities          org.cocoapods.GoogleUtilities             7.6.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/GoogleUtilities.framework
FirebaseABTesting        org.cocoapods.FirebaseABTesting           8.10.0     /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/FirebaseABTesting.framework
SwiftAccountModule       org.cocoapods.SwiftAccountModule          1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SwiftAccountModule.framework
DesignSystem             org.cocoapods.DesignSystem                1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/DesignSystem.framework
Mediator                 org.cocoapods.Mediator                    1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/Mediator.framework
FirebasePerformance      org.cocoapods.FirebasePerformance         8.10.0     /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/FirebasePerformance.framework
SkeletonView             org.cocoapods.SkeletonView                1.29.2     /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SkeletonView.framework
PromotionWebViewModule   org.cocoapods.PromotionWebViewModule      1.0.1      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/PromotionWebViewModule.framework
Favorite                 org.cocoapods.Favorite                    1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/Favorite.framework
SwiftUtils               org.cocoapods.SwiftUtils                  1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SwiftUtils.framework
UserTransactions         org.cocoapods.UserTransactions            1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/UserTransactions.framework
Bet                      org.cocoapods.Bet                         1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/Bet.framework
JDFTooltips              org.cocoapods.JDFTooltips                 1.3.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/JDFTooltips.framework
TMXProfiling             com.threatmetrix.TMXProfiling             1.0        /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/TMXProfiling.framework
Colours                  org.cocoapods.Colours                     5.13.0     /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/Colours.framework
AppleReachability        org.cocoapods.AppleReachability           5.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/AppleReachability.framework
GTMSessionFetcher        org.cocoapods.GTMSessionFetcher           1.5.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/GTMSessionFetcher.framework
SwiftSupport             org.cocoapods.SwiftSupport                1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SwiftSupport.framework
DeviceUtil               org.cocoapods.DeviceUtil                  6.1.8      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/DeviceUtil.framework
SwiftGames               org.cocoapods.SwiftGames                  1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SwiftGames.framework
nanopb                   org.cocoapods.nanopb                      2.30908.0  /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/nanopb.framework
FirebaseCoreDiagnostics  org.cocoapods.FirebaseCoreDiagnostics     8.10.0     /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/FirebaseCoreDiagnostics.framework
SwiftProjectLayer        org.cocoapods.SwiftProjectLayer           1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SwiftProjectLayer.framework
EasyTipView              org.cocoapods.EasyTipView                 2.1.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/EasyTipView.framework
SwiftUserLayer           org.cocoapods.SwiftUserLayer              1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SwiftUserLayer.framework
FBLPromises              org.cocoapods.FBLPromises                 2.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/FBLPromises.framework
TTTAttributedLabel       org.cocoapods.TTTAttributedLabel          2.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/TTTAttributedLabel.framework
MenuItemsModule          org.cocoapods.MenuItemsModule             1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/MenuItemsModule.framework
FullStatistic            org.cocoapods.FullStatistic               1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/FullStatistic.framework
VIPCashback              org.cocoapods.VIPCashback                 1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/VIPCashback.framework
SVPullToRefresh          org.cocoapods.SVPullToRefresh             0.4.1      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SVPullToRefresh.framework
Coupon                   org.cocoapods.Coupon                      1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/Coupon.framework
SAMKeychain              org.cocoapods.SAMKeychain                 1.5.3      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SAMKeychain.framework
SocketRocket             org.cocoapods.SocketRocket                0.6.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/SocketRocket.framework
FirebaseRemoteConfig     org.cocoapods.FirebaseRemoteConfig        8.10.0     /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/FirebaseRemoteConfig.framework
TMXProfilingConnections  com.threatmetrix.TMXProfilingConnections  1.0        /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/TMXProfilingConnections.framework
MessageFeed              org.cocoapods.MessageFeed                 1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/MessageFeed.framework
InfoMessage              org.cocoapods.InfoMessage                 1.0.0      /var/containers/Bundle/Application/39AE6C46-5E16-4D57-A386-351603892B5A/1xStavka.app/Frameworks/InfoMessage.framework
Asking jobs to stop...
Unloading objection agent...
